oracle_prompt_v3  mIoU=42.20  8-directional  box_margin=32  refine_rounds=2  multimask=True  seed=42

  Road           : 66.6
  Sidewalk       : 33.8
  Building       : 49.1
  Traffic Light  : 10.6
  Traffic Sign   : 32.1
  Vegetation     : 53.4
  Sky            : 83.1
  Person         : 29.3
  Car            : 32.2
  Truck          : 72.8
  Bus            : 82.6
  Motorcycle     : 37.3
  Bicycle        : 0.0
  Pole           : 7.9
